"matchID","season","round","homeTeam","awayTeam","quarter","homeTeamRunningScore","awayTeamRunningScore","homeTeamPointsInQtr","awayTeamPointsInQtr","homeMinusAwayPointsInQtr","qtrWinningTeam"
"2016-03-24_R1_Richmond-v-Carlton",2016,1,"Richmond","Carlton",1,25,28,25,28,-3,"Carlton"
"2016-03-24_R1_Richmond-v-Carlton",2016,1,"Richmond","Carlton",2,44,37,19,9,10,"Richmond"
"2016-03-24_R1_Richmond-v-Carlton",2016,1,"Richmond","Carlton",3,66,75,22,38,-16,"Carlton"
"2016-03-24_R1_Richmond-v-Carlton",2016,1,"Richmond","Carlton",4,92,83,26,8,18,"Richmond"
"2016-03-26_R1_Gold Coast-v-Essendon",2016,1,"Gold Coast","Essendon",1,35,6,35,6,29,"Gold Coast"
"2016-03-26_R1_Gold Coast-v-Essendon",2016,1,"Gold Coast","Essendon",2,75,31,40,25,15,"Gold Coast"
"2016-03-26_R1_Gold Coast-v-Essendon",2016,1,"Gold Coast","Essendon",3,104,47,29,16,13,"Gold Coast"
"2016-03-26_R1_Gold Coast-v-Essendon",2016,1,"Gold Coast","Essendon",4,121,59,17,12,5,"Gold Coast"
"2016-03-26_R1_Melbourne-v-Greater Western Sydney",2016,1,"Melbourne","Greater Western Sydney",1,30,22,30,22,8,"Melbourne"
"2016-03-26_R1_Melbourne-v-Greater Western Sydney",2016,1,"Melbourne","Greater Western Sydney",2,34,44,4,22,-18,"Greater Western Sydney"
"2016-03-26_R1_Melbourne-v-Greater Western Sydney",2016,1,"Melbourne","Greater Western Sydney",3,41,62,7,18,-11,"Greater Western Sydney"
"2016-03-26_R1_Melbourne-v-Greater Western Sydney",2016,1,"Melbourne","Greater Western Sydney",4,80,78,39,16,23,"Melbourne"
"2016-03-26_R1_North Melbourne-v-Adelaide",2016,1,"North Melbourne","Adelaide",1,15,23,15,23,-8,"Adelaide"
"2016-03-26_R1_North Melbourne-v-Adelaide",2016,1,"North Melbourne","Adelaide",2,42,60,27,37,-10,"Adelaide"
"2016-03-26_R1_North Melbourne-v-Adelaide",2016,1,"North Melbourne","Adelaide",3,85,86,43,26,17,"North Melbourne"
"2016-03-26_R1_North Melbourne-v-Adelaide",2016,1,"North Melbourne","Adelaide",4,107,97,22,11,11,"North Melbourne"
"2016-03-26_R1_Sydney-v-Collingwood",2016,1,"Sydney","Collingwood",1,27,7,27,7,20,"Sydney"
"2016-03-26_R1_Sydney-v-Collingwood",2016,1,"Sydney","Collingwood",2,72,10,45,3,42,"Sydney"
"2016-03-26_R1_Sydney-v-Collingwood",2016,1,"Sydney","Collingwood",3,105,36,33,26,7,"Sydney"
