season,date,round,homeTeam,awayTeam,startTimeLocal,venue,quarter,teamName,scoreType,playerName,scoreTime_mmss,scoreTime_secInQtr,scorePoints,homeTeamPoints,awayTeamPoints,homeTeamRunningScore,awayTeamRunningScore,matchID,Q1_s,Q2_s,Q3_s,Q4_s,gameDuration_s,Q1Q2_s,Q1Q2Q3_s,scoreTime_seconds,scoreTime_pct,homeTeamFinalScore,awayTeamFinalScore,homeMinusAwayScore,homeTeamResult,winningTeam,losingTeam
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Behind,Matthew Wright,21S,21,1,0,1,0,1,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,21,0.3,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Behind,Levi Casboult,3M 41S,221,1,0,1,0,2,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,221,3,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Richmond,Goal,Kane Lambert,5M 51S,351,6,6,0,6,2,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,351,4.7,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Richmond,Goal,Connor Menadue,9M 39S,579,6,6,0,12,2,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,579,7.8,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Behind,Rushed behind,13M 16S,796,1,0,1,12,3,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,796,10.7,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Goal,Jed Lamb,14M 50S,890,6,0,6,12,9,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,890,12,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Richmond,Behind,Rushed behind,16M 26S,986,1,1,0,13,9,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,986,13.2,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Richmond,Goal,Ty Vickery,18M 39S,1119,6,6,0,19,9,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1119,15,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Goal,Bryce Gibbs,21M 8S,1268,6,0,6,19,15,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1268,17,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Behind,Andrew Walker,22M 45S,1365,1,0,1,19,16,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1365,18.3,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Goal,Matthew Kreuzer,23M 44S,1424,6,0,6,19,22,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1424,19.1,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Richmond,Goal,Shane Edwards,24M 57S,1497,6,6,0,25,22,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1497,20.1,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,1,Carlton,Goal,Marc Murphy,27M 51S,1671,6,0,6,25,28,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,1671,22.5,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,2,Carlton,Behind,Marc Murphy,2M 10S,130,1,0,1,25,29,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,2090,28.1,92,83,9,Win,Richmond,Carlton
2016,24/03/2016,1,Richmond,Carlton,7:20,M.C.G.,2,Carlton,Behind,Sam Kerridge,11M 55S,715,1,0,1,25,30,2016-03-24_R1_Richmond-v-Carlton,1960,1856,1796,1831,7443,3816,5612,2675,35.9,92,83,9,Win,Richmond,Carlton
