"matchID","Q1_s","Q2_s","Q3_s","Q4_s","gameDuration_s"
"2008-03-20_R1_Carlton-v-Richmond",1791,1867,1676,1793,7127
"2008-03-20_R1_Port Adelaide-v-Geelong",1963,1797,1861,1828,7449
"2008-03-22_R1_Collingwood-v-Fremantle",1789,1793,1717,1846,7145
"2008-03-22_R1_St Kilda-v-Sydney",1736,1611,1589,1572,6508
"2008-03-22_R1_West Coast-v-Brisbane Lions",1850,1624,1847,1768,7089
"2008-03-23_R1_Hawthorn-v-Melbourne",1806,1566,1850,1994,7216
"2008-03-23_R1_Western Bulldogs-v-Adelaide",1703,1669,1946,2050,7368
"2008-03-24_R1_North Melbourne-v-Essendon",1824,1796,1809,1711,7140
"2008-03-28_R2_Brisbane Lions-v-Collingwood",1688,1862,1924,1891,7365
"2008-03-29_R2_Adelaide-v-West Coast",1761,1635,1718,1820,6934
"2008-03-29_R2_Fremantle-v-Hawthorn",1739,1862,1903,1824,7328
"2008-03-29_R2_Melbourne-v-Western Bulldogs",1644,1793,1849,1722,7008
"2008-03-29_R2_St Kilda-v-Carlton",1741,1842,1624,2030,7237
"2008-03-30_R2_Geelong-v-Essendon",1709,1842,1748,1772,7071
"2008-03-30_R2_Richmond-v-North Melbourne",1996,1874,1804,1598,7272
"2008-03-30_R2_Sydney-v-Port Adelaide",1983,1832,1909,1897,7621
"2008-04-04_R3_Western Bulldogs-v-St Kilda",1797,1942,1852,1983,7574
"2008-04-05_R3_Brisbane Lions-v-Sydney",1699,1767,1609,1625,6700
"2008-04-05_R3_Essendon-v-Carlton",2003,1810,2112,1709,7634
"2008-04-05_R3_North Melbourne-v-Hawthorn",1779,1872,1820,1791,7262
"2008-04-05_R3_West Coast-v-Fremantle",1787,1655,1594,1602,6638
"2008-04-06_R3_Adelaide-v-Port Adelaide",1635,1987,1908,1875,7405
"2008-04-06_R3_Geelong-v-Melbourne",1733,1759,1775,1592,6859
"2008-04-06_R3_Richmond-v-Collingwood",1695,1910,1863,1681,7149
"2008-04-11_R4_Essendon-v-Western Bulldogs",1673,2088,1987,1783,7531
"2008-04-12_R4_North Melbourne-v-Melbourne",1764,1858,1821,1956,7399
"2008-04-12_R4_Port Adelaide-v-Brisbane Lions",1787,1707,1856,2065,7415
"2008-04-12_R4_St Kilda-v-Geelong",1779,1991,1892,1793,7455
"2008-04-12_R4_Sydney-v-West Coast",1798,1731,1749,1892,7170
"2008-04-13_R4_Carlton-v-Collingwood",1981,1730,1550,1935,7196
"2008-04-13_R4_Fremantle-v-Richmond",1997,1726,1661,1814,7198
"2008-04-13_R4_Hawthorn-v-Adelaide",1680,1720,1868,1786,7054
"2008-04-18_R5_St Kilda-v-Essendon",1889,2006,1857,1789,7541
"2008-04-19_R5_Adelaide-v-Fremantle",1586,1642,1692,1854,6774
"2008-04-19_R5_Brisbane Lions-v-Hawthorn",1812,2024,1960,1776,7572
"2008-04-19_R5_Collingwood-v-North Melbourne",1700,1891,1651,2089,7331
"2008-04-19_R5_Geelong-v-Sydney",1739,1802,1692,2086,7319
"2008-04-20_R5_Melbourne-v-Carlton",1623,1872,1485,1800,6780
"2008-04-20_R5_West Coast-v-Port Adelaide",1827,1880,1829,1959,7495
"2008-04-20_R5_Western Bulldogs-v-Richmond",1851,1909,1815,2016,7591
"2008-04-25_R6_Collingwood-v-Essendon",1918,1777,1769,2061,7525
"2008-04-25_R6_Fremantle-v-Geelong",1709,2022,1702,1881,7314
"2008-04-26_R6_Carlton-v-Adelaide",1729,1762,1798,1884,7173
"2008-04-26_R6_Port Adelaide-v-St Kilda",1713,1792,1857,1736,7098
"2008-04-26_R6_Western Bulldogs-v-West Coast",1859,1691,1768,1577,6895
"2008-04-27_R6_Brisbane Lions-v-Melbourne",1692,1946,1832,2006,7476
"2008-04-27_R6_Hawthorn-v-Richmond",1806,1677,1828,1761,7072
"2008-04-27_R6_North Melbourne-v-Sydney",1753,1649,1835,1785,7022
"2008-05-02_R7_West Coast-v-Carlton",1675,1869,1922,1952,7418
"2008-05-03_R7_Adelaide-v-North Melbourne",1679,1931,1819,1813,7242
"2008-05-03_R7_Geelong-v-Brisbane Lions",1868,1650,1798,1776,7092
"2008-05-03_R7_Hawthorn-v-Collingwood",1741,1684,2024,1902,7351
"2008-05-03_R7_Richmond-v-St Kilda",1823,1913,1967,1894,7597
"2008-05-04_R7_Essendon-v-Port Adelaide",1857,1973,1853,1750,7433
"2008-05-04_R7_Melbourne-v-Fremantle",1751,1782,1921,2061,7515
"2008-05-04_R7_Sydney-v-Western Bulldogs",1870,1875,1873,1988,7606
"2008-05-16_R8_St Kilda-v-Collingwood",1987,1778,1832,1669,7266
"2008-05-17_R8_Carlton-v-Brisbane Lions",1863,1715,2039,1781,7398
"2008-05-17_R8_Hawthorn-v-Port Adelaide",1882,1919,1940,1642,7383
"2008-05-17_R8_North Melbourne-v-West Coast",1875,1827,1687,1645,7034
"2008-05-17_R8_Richmond-v-Geelong",1632,1663,1820,1702,6817
"2008-05-18_R8_Adelaide-v-Melbourne",2017,1773,1778,1992,7560
"2008-05-18_R8_Fremantle-v-Western Bulldogs",1956,1686,1731,1830,7203
"2008-05-18_R8_Sydney-v-Essendon",1799,1881,1914,1958,7552
"2008-05-23_R9_Collingwood-v-Geelong",1852,1743,1782,1669,7046
"2008-05-24_R9_Carlton-v-Fremantle",1779,1770,1894,1542,6985
"2008-05-24_R9_Essendon-v-Richmond",1729,1750,1969,1758,7206
"2008-05-24_R9_Port Adelaide-v-Sydney",2181,1757,1642,1997,7577
"2008-05-24_R9_West Coast-v-Adelaide",1586,1721,1733,1796,6836
"2008-05-25_R9_Brisbane Lions-v-St Kilda",1686,1836,2013,2013,7548
"2008-05-25_R9_Melbourne-v-Hawthorn",1731,1620,1935,1793,7079
"2008-05-25_R9_Western Bulldogs-v-North Melbourne",1938,1820,1795,1805,7358
"2008-05-30_R10_Adelaide-v-Essendon",1673,1783,1703,1708,6867
"2008-05-31_R10_Brisbane Lions-v-North Melbourne",1770,2022,2027,1857,7676
"2008-05-31_R10_Collingwood-v-West Coast",1730,2064,1758,1906,7458
"2008-05-31_R10_Geelong-v-Carlton",1647,1899,1842,1882,7270
"2008-05-31_R10_Hawthorn-v-Western Bulldogs",1670,2046,1760,1717,7193
"2008-06-01_R10_Fremantle-v-Port Adelaide",1718,1895,1807,1811,7231
"2008-06-01_R10_St Kilda-v-Melbourne",1752,1803,1626,1979,7160
